300 2
  51   86 0
  42   82 0
  42   73 0
  59   70 0
  61   82 0
  82   83 0
  67   80 0
  72   92 0
  83  102 0
  75   94 0
  56   88 0
  57   80 0
  57   69 0
  72   76 0
  80   93 0
  86  102 0
 104  111 0
 119  116 0
 111  133 0
 107  124 0
 103  118 0
  96  104 0
  84   95 0
  92  122 0
  99  130 0
 108  122 0
  81  105 0
  77  111 0
  74  104 0
  74   94 0
  92  106 0
  97  115 0
  94  120 0
  70   99 0
  52   90 0
  71   83 0
  87   97 0
  90  113 0
  96  117 0
 110  123 0
 113  133 0
 117  134 0
 110  115 0
  79   93 0
  67   90 0
  68  103 0
  52   89 0
  62   84 0
  59   87 0
  65  103 0
  70  111 0
  86  116 0
 102  127 0
  81  101 0
  69   98 0
  49   86 0
  44   71 0
  47   73 0
  70   75 0
  86   93 0
 105  107 0
 117  119 0
 120  130 0
 119  133 0
 129  138 0
 112  136 0
 117  133 0
 124  131 0
 101  121 0
  94  116 0
  69  103 0
  45   86 0
  54   82 0
 -69  -46 0
 -92  -64 0
 -93  -67 0
-104  -78 0
-113  -82 0
-119  -86 0
-119  -97 0
-121 -111 0
-110 -115 0
-105  -97 0
-115  -96 0
-110  -94 0
 -81  -82 0
 -99  -92 0
 -96  -78 0
 -83  -77 0
 -85  -64 0
 -66  -58 0
 -61  -50 0
 -69  -48 0
 -76  -59 0
 -96  -70 0
 -64  -45 0
 -71  -60 0
 -86  -77 0
 -94  -84 0
 -92  -87 0
 -95  -93 0
-111  -94 0
-118  -97 0
-112 -102 0
 -99  -99 0
-101  -85 0
-109  -92 0
-129 -109 0
-116 -111 0
-106  -97 0
 -95  -81 0
 -89  -74 0
 -76  -62 0
 -68  -54 0
 -59  -40 0
 -81  -48 0
 -79  -68 0
 -59  -58 0
 -51  -47 0
 -60  -41 0
 -83  -57 0
 -95  -69 0
-100  -72 0
-105  -85 0
-103  -86 0
-120 -101 0
-129 -108 0
-132 -113 0
-127 -109 0
-100  -84 0
 -81  -66 0
 -69  -52 0
 -64  -46 0
 -65  -40 0
 -53  -42 0
 -59  -45 0
 -80  -63 0
 -87  -76 0
-107  -84 0
-124  -93 0
-131  -96 0
-125  -98 0
 -86  -75 0
 -61  -54 0
 -48  -52 0
 -59  -41 0
 -91  -49 0
 -90  -55 0
 -79  -65 0
-104  -86 0
-109  -87 0
-109  -88 0
-105 -110 0
-120  -99 0
-121  -93 0
 -94  -86 0
 -55  -50 0
 -48  -34 0
 -60  -40 0
 -61  -56 0
 -76  -68 0
 -84  -77 0
 -94  -94 0
-115 -107 0
-130 -110 0
-141 -108 0
 -85  -63 0
-131 -101 0
-135 -109 0
-146 -122 0
-129 -121 0
-118 -112 0
-109 -107 0
 -98 -101 0
-106  -98 0
-117 -103 0
-115 -111 0
 -92 -115 0
 -92 -112 0
 -92 -110 0
 -84  -86 0
-107 -102 0
  93   95 0
 116  106 0
 134  121 0
 152  139 0
 141  140 0
 128  133 0
 120  125 0
 111  114 0
  65   91 0
  53   82 0
  41   74 0
  33   65 0
  40   61 0
  56   57 0
  69   59 0
  94   72 0
 101   69 0
 113   95 0
  99  101 0
  87  102 0
  98  124 0
  73  120 0
  61  105 0
  55  102 0
  68  124 0
  70   96 0
  86   94 0
 101   84 0
 114   95 0
 127  109 0
 137  120 0
 148  132 0
 132  143 0
 114  143 0
 112  142 0
 -92  -89 0
 -84  -93 0
 -69 -102 0
 -60  -92 0
 -63  -81 0
 -69  -71 0
 -77  -74 0
 -76  -83 0
 -71  -86 0
 -88  -63 0
 -98  -55 0
-106  -48 0
-119  -40 0
-127  -46 0
-121  -53 0
  77  -31 0
  73  -38 0
  60  -51 0
  55  -57 0
  51  -63 0
  46  -73 0
  42  -94 0
  55  -97 0
  60 -100 0
  75  -91 0
  84  -80 0
 100  -66 0
 111  -47 0
 120  -26 0
  95  -19 0
  81  -45 0
  78  -51 0
  59  -72 0
  64  -78 0
  92  -57 0
  92  -56 0
  76  -76 0
  91  -81 0
 105  -87 0
 113  -92 0
 117  -80 0
 118  -70 0
 104  -65 0
 111  -36 0
  83  -56 0
  63  -66 0
  60  -84 0
  73  -69 0
  99  -38 0
  84  -38 0
  62  -56 0
  75  -67 0
  80  -55 0
 103  -33 0
  89  -58 0
  72  -72 0
  51  -78 0
  44  -87 0
  56  -86 0
  59  -64 0
  77  -54 0
  72  -66 0
  84  -62 0
  99  -46 0
 104  -38 0
  92  -39 0
  95  -61 0
  95  -77 0
 109  -72 0
  91  -72 0
  85  -86 0
 105  -33 0
 102  -58 0
  99  -63 0
  97  -64 0
 108  -68 0
  92  -66 0
  94  -51 0
  83  -44 0
  76  -47 0
  76  -72 0
  88  -74 0
  94  -71 0
