300 2
  63  426 0
  55  425 0
  45  425 0
  34  425 0
  34  411 0
  42  413 0
  55  412 0
  67  412 0
  37  406 0
  44  406 0
  55  408 0
  65  407 0
  56  395 0
  65  397 0
  45  397 0
  45  385 0
  55  386 0
  66  385 0
  74  393 0
  73  383 0
  42  276 0
  34  275 0
  34  264 0
  43  264 0
  53  275 0
  55  263 0
  65  275 0
  67  265 0
  35  256 0
  47  254 0
  53  256 0
  65  255 0
  47  245 0
  54  247 0
  66  243 0
  46  238 0
  51  240 0
  65  234 0
  58  234 0
  57  223 0
  35   84 0
  45   85 0
  35   76 0
  47   73 0
  52   83 0
  55   75 0
  66   85 0
  63   73 0
  42   64 0
  54   65 0
  36   56 0
  45   56 0
  57   55 0
  67   54 0
  45   43 0
  54   45 0
  46   35 0
  35   35 0
  56   36 0
  66   35 0
-181  348 0
-173  345 0
-164  346 0
-155  346 0
-182  334 0
-173  335 0
-164  333 0
-158  335 0
-145  343 0
-145  334 0
-183  324 0
-173  324 0
-164  325 0
-155  324 0
-146  325 0
-182  313 0
-175  313 0
-166  314 0
-154  315 0
-175  304 0
-197  183 0
-207  176 0
-196  175 0
-207  163 0
-194  164 0
-184  166 0
-184  175 0
-183  184 0
-205  157 0
-197  157 0
-173  176 0
-174  185 0
-175  163 0
-166  164 0
-165  175 0
-164  186 0
-158  166 0
-153  174 0
-158  183 0
-145  173 0
-226  -76 0
-214  -75 0
-206  -75 0
-195  -73 0
-219  -85 0
-224  -85 0
-206  -86 0
-195  -85 0
-216  -95 0
-206  -95 0
-224 -104 0
-216 -104 0
-205 -105 0
-195 -105 0
-222 -114 0
-216 -116 0
-203 -114 0
-192 -114 0
-215 -122 0
-205 -125 0
-226 -136 0
-215 -135 0
-207 -135 0
-195 -135 0
-225 -145 0
-215 -146 0
-205 -144 0
-196 -144 0
-214 -154 0
-204 -156 0
-227 -165 0
-215 -166 0
-206 -165 0
-196 -166 0
-225 -178 0
-214 -178 0
-206 -176 0
-197 -176 0
-214 -186 0
-205 -186 0
-185  -74 0
-176  -74 0
-164  -74 0
-155  -73 0
-185  -85 0
-178  -83 0
-165  -85 0
-153  -87 0
-185  -94 0
-175  -95 0
-187 -106 0
-176 -104 0
-167 -105 0
-157 -105 0
-185 -115 0
-172 -115 0
-164 -115 0
-154 -115 0
-175 -126 0
-164 -126 0
 -51  264 0
 -32  246 0
 -64  226 0
 -83  275 0
-132  268 0
 -93  220 0
 -54  196 0
  -2  194 0
 -20  167 0
 -56  164 0
 -81  150 0
 -28  137 0
 -47   62 0
 -87   30 0
-144   46 0
-156   33 0
-230   18 0
-134   -1 0
-165  -13 0
-136  -36 0
 -83  -32 0
-128   11 0
-201   72 0
-142   97 0
-120  124 0
 -43  143 0
 -33   83 0
   2  113 0
  36  159 0
  39  187 0
   8  230 0
  23  310 0
  13  372 0
 -27  365 0
 -41  383 0
 -56  356 0
 -70  322 0
 -21  326 0
-114  279 0
-197  250 0
-179  228 0
-155  208 0
-110  175 0
-132  119 0
-168   88 0
-175   59 0
-169   14 0
-171  -16 0
 -75  -57 0
 -85   -2 0
 -59   14 0
 -66   82 0
 -25   93 0
 -87  188 0
-101  205 0
 -92  252 0
-106  259 0
 -91  277 0
 -59  261 0
 -31  237 0
 -40  287 0
 -18  316 0
 -27  329 0
 -40  348 0
 -84  375 0
-109  293 0
  38  389 0
  51  395 0
  57  410 0
  40  411 0
  35  396 0
  51  394 0
  56  430 0
  52  426 0
-153  309 0
-154  298 0
-162  284 0
-169  293 0
-166  300 0
-178  296 0
-170  317 0
-167  323 0
-156  334 0
-151  176 0
-170  168 0
-191  158 0
-179  153 0
-158  151 0
-182  165 0
-213  168 0
-223  166 0
-189  180 0
-177  179 0
-176  179 0
  63  229 0
  61  250 0
  67  258 0
  58  263 0
  43  262 0
  40  240 0
  42  230 0
  37  235 0
  46  240 0
  55  267 0
  60  265 0
  59  249 0
  62   78 0
  53   86 0
  41   73 0
  52   57 0
  47   51 0
  38   41 0
  45   30 0
  51   28 0
  68   46 0
  61   58 0
  64   81 0
  64   86 0
  47   86 0
  48   63 0
  44   52 0
  37   32 0
  54   34 0
  58   38 0
-175 -138 0
-184 -154 0
-190 -157 0
-184 -170 0
-186 -153 0
-179 -130 0
-193 -110 0
-201 -114 0
-179  -93 0
-174  -91 0
-190  -89 0
-196 -121 0
-214 -135 0
-215 -150 0
-199 -142 0
-197 -132 0
